"Institusjonskode";"Institusjonsnavn";"Avdelingskode";"Avdelingsnavn";"Årstall";"Semester";"Semesternavn";"Studentkategori";"Kategoritekst";"Antall totalt";"Antall kvinner";"Antall menn"
"0211";"Høgskolen i Bodø";"120000";"Sentraladministrasjonen";"2006";"1";"Vår";"S";"Studenter";"127";"83";"44"
"0211";"Høgskolen i Bodø";"120000";"Sentraladministrasjonen";"2009";"1";"Vår";"S";"Studenter";"114";"73";"41"
"0211";"Høgskolen i Bodø";"120000";"Sentraladministrasjonen";"2008";"1";"Vår";"S";"Studenter";"165";"78";"87"
"0211";"Høgskolen i Bodø";"120000";"Sentraladministrasjonen";"2004";"1";"Vår";"S";"Studenter";"143";"74";"69"
"0211";"Høgskolen i Bodø";"120000";"Sentraladministrasjonen";"2000";"1";"Vår";"S";"Studenter";"89";"53";"36"
"0211";"Høgskolen i Bodø";"120000";"Sentraladministrasjonen";"2011";"1";"Vår";"S";"Studenter";"33";"16";"17"
"0211";"Høgskolen i Bodø";"120000";"Sentraladministrasjonen";"2003";"1";"Vår";"S";"Studenter";"105";"52";"53"
"0211";"Høgskolen i Bodø";"120000";"Sentraladministrasjonen";"2007";"1";"Vår";"S";"Studenter";"166";"95";"71"
"0211";"Høgskolen i Bodø";"120000";"Sentraladministrasjonen";"2005";"3";"Høst";"S";"Studenter";"83";"60";"23"
"0211";"Høgskolen i Bodø";"120300";"Senter for profesjonsstudier";"2001";"3";"Høst";"S";"Studenter";"57";"35";"22"
"0211";"Høgskolen i Bodø";"120300";"Senter for profesjonsstudier";"2003";"1";"Vår";"S";"Studenter";"55";"33";"22"
"0211";"Høgskolen i Bodø";"120300";"Senter for profesjonsstudier";"2002";"1";"Vår";"S";"Studenter";"25";"16";"9"
"0211";"Høgskolen i Bodø";"120300";"Senter for profesjonsstudier";"2001";"1";"Vår";"S";"Studenter";"37";"20";"17"
"0211";"Høgskolen i Bodø";"120300";"Senter for profesjonsstudier";"2003";"3";"Høst";"S";"Studenter";"68";"42";"26"
"0211";"Høgskolen i Bodø";"120300";"Senter for profesjonsstudier";"2002";"3";"Høst";"S";"Studenter";"71";"42";"29"
"0211";"Høgskolen i Bodø";"120500";"Senter for journalistikk";"2003";"3";"Høst";"S";"Studenter";"97";"41";"56"
"0211";"Høgskolen i Bodø";"120500";"Senter for journalistikk";"2002";"3";"Høst";"S";"Studenter";"122";"63";"59"
"0211";"Høgskolen i Bodø";"120500";"Senter for journalistikk";"2003";"1";"Vår";"S";"Studenter";"89";"42";"47"
"0211";"Høgskolen i Bodø";"120500";"Senter for journalistikk";"2002";"1";"Vår";"S";"Studenter";"135";"83";"52"
